arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_get_plot_data_stores_attribute,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_step_variable_not_in_data,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_non_numeric_non_datetime_time,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_step_transform_chunked_data,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_ramp_transform_chunked_data,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_step_transform_datetime_chunked,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_ramp_transform_datetime_chunked,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_step_transform_timestamp_threshold,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_ramp_transform_timestamp_threshold,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_step_transform_datetime_series,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_ramp_transform_datetime_series,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,validate,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,sample_df,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_empty_steps_raises,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_non_dataframe_raises,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_non_step_raises,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_validates_before_running,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
causalpy/tests/test_pipeline.py,funcao,test_runs_steps_sequentially,1,2,2,4,3,6,2.0,9.5098,1.0,9.5098,0.5283,0.0032
causalpy/tests/test_pipeline.py,funcao,test_context_flows_between_steps,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_pipeline.py,funcao,test_result_type,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_defaults,2,7,5,10,9,15,21.6515,47.5489,1.4286,67.927,3.7737,0.0158
causalpy/tests/test_pipeline.py,funcao,test_data_stored,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_from_context,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
causalpy/tests/test_pipeline.py,funcao,test_mock_step_satisfies_protocol,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_object_without_methods_does_not_satisfy,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
causalpy/tests/test_pipeline.py,funcao,test_dataclass_with_correct_methods_satisfies,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_repr,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
causalpy/tests/test_pipeline.py,funcao,test_validate_rejects_non_experiment,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_validate_rejects_data_kwarg,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_validate_accepts_valid_config,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_satisfies_step_protocol,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_pipeline.py,funcao,test_run_fits_experiment,2,6,4,8,8,12,17.5098,36.0,1.3333,48.0,2.6667,0.012
causalpy/tests/test_pipeline.py,funcao,test_run_handles_unimplemented_effect_summary,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
