arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
causalpy/tests/test_default_models.py,function,,_setup_regression_kink_data,A,1,32,47
causalpy/tests/test_default_models.py,function,,_iv_data,A,1,50,64
causalpy/tests/test_default_models.py,function,,sample_kwargs,A,1,69,76
causalpy/tests/test_default_models.py,function,,test_missing_default_model_class_raises_valueerror,A,1,211,235
causalpy/tests/test_deprecated_design_aliases.py,function,,_make_did,A,1,35,42
causalpy/tests/test_deprecated_design_aliases.py,function,,_make_rd,A,1,46,52
causalpy/tests/test_deprecated_design_aliases.py,function,,_make_its,A,1,56,67
causalpy/tests/test_deprecated_design_aliases.py,function,,_make_sc,A,1,72,84
causalpy/tests/test_deprecated_design_aliases.py,function,,test_deprecated_alias_did,A,1,101,106
causalpy/tests/test_deprecated_design_aliases.py,function,,test_deprecated_alias_rd,A,1,110,115
causalpy/tests/test_deprecated_design_aliases.py,function,,test_deprecated_alias_its,A,1,131,136
causalpy/tests/test_deprecated_design_aliases.py,function,,test_deprecated_alias_sc,A,1,152,157
causalpy/tests/test_deprecated_design_aliases.py,function,,_make_sdid,A,1,165,174
causalpy/tests/test_deprecated_design_aliases.py,function,,test_deprecated_alias_sdid,A,1,180,185
causalpy/tests/test_deprecated_design_aliases.py,function,,test_convex_hull_check_no_deprecation_warning,A,1,193,204
causalpy/tests/test_deprecated_design_aliases.py,function,,test_attribute_error_for_missing,A,1,212,216
causalpy/tests/test_generate_report.py,function,,its_context,A,1,35,47
causalpy/tests/test_generate_report.py,method,TestGenerateReport,test_validate_always_passes,A,1,136,138
causalpy/tests/test_generate_report.py,method,TestStandaloneGenerateReport,experiment,A,1,195,202
causalpy/tests/test_hdi_prob_wiring.py,function,,make_spy,A,1,87,95
causalpy/tests/test_hdi_prob_wiring.py,function,,spy,A,1,90,93
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_its,A,1,117,123
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_sc,A,1,128,135
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_did,A,1,140,147
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_rd,A,1,152,159
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_rkink,A,1,164,172
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_prepost,A,1,177,184
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_piecewise,A,1,189,195
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_staggered,A,1,233,245
causalpy/tests/test_hdi_prob_wiring.py,function,,fitted_staggered_ols,A,1,250,262
causalpy/tests/test_hdi_prob_wiring.py,function,,_check_threading,A,1,276,281
causalpy/tests/test_hdi_prob_wiring.py,function,,test_its_plot_threads_hdi_prob,A,1,328,330
causalpy/tests/test_hdi_prob_wiring.py,function,,test_its_plot_default_hdi_prob,A,1,334,336
causalpy/tests/test_hdi_prob_wiring.py,function,,test_sc_plot_threads_hdi_prob,A,1,341,343
causalpy/tests/test_hdi_prob_wiring.py,function,,test_sc_plot_default_hdi_prob,A,1,347,349
causalpy/tests/test_hdi_prob_wiring.py,function,,test_did_plot_threads_hdi_prob,A,1,354,356
causalpy/tests/test_hdi_prob_wiring.py,function,,test_did_plot_default_hdi_prob,A,1,360,362
causalpy/tests/test_hdi_prob_wiring.py,function,,test_rd_plot_threads_hdi_prob,A,1,367,369
causalpy/tests/test_hdi_prob_wiring.py,function,,test_rd_plot_default_hdi_prob,A,1,373,375
causalpy/tests/test_hdi_prob_wiring.py,function,,test_rkink_plot_threads_hdi_prob,A,1,380,382
causalpy/tests/test_hdi_prob_wiring.py,function,,test_rkink_plot_default_hdi_prob,A,1,386,388
causalpy/tests/test_hdi_prob_wiring.py,function,,test_prepost_plot_threads_hdi_prob,A,1,393,395
causalpy/tests/test_hdi_prob_wiring.py,function,,test_prepost_plot_default_hdi_prob,A,1,399,401
causalpy/tests/test_hdi_prob_wiring.py,function,,test_piecewise_plot_threads_hdi_prob,A,1,406,408
causalpy/tests/test_hdi_prob_wiring.py,function,,test_piecewise_plot_default_hdi_prob,A,1,412,414
causalpy/tests/test_hdi_prob_wiring.py,function,,test_panel_plot_threads_hdi_prob,A,1,419,421
causalpy/tests/test_hdi_prob_wiring.py,function,,test_panel_plot_default_hdi_prob,A,1,425,427
causalpy/tests/test_input_validation.py,function,,test_did_validation_post_treatment_formula,A,1,34,156
causalpy/tests/test_input_validation.py,function,,test_did_validation_post_treatment_data,A,1,160,208
causalpy/tests/test_input_validation.py,function,,test_did_validation_unit_data,A,1,212,239
causalpy/tests/test_input_validation.py,function,,test_did_validation_group_dummy_coded,A,1,243,270
causalpy/tests/test_input_validation.py,function,,test_sc_input_error,A,1,277,297
causalpy/tests/test_input_validation.py,function,,test_sc_ols_multiple_treated_units_error,A,1,301,309
causalpy/tests/test_input_validation.py,function,,test_sc_brexit_input_error,A,1,313,333
causalpy/tests/test_input_validation.py,function,,test_ancova_validation_2_levels,A,1,340,356
causalpy/tests/test_input_validation.py,function,,test_rd_validation_treated_in_formula,A,1,363,386
causalpy/tests/test_input_validation.py,function,,test_rd_validation_treated_is_dummy,A,1,390,413
causalpy/tests/test_input_validation.py,function,,test_iv_treatment_var_is_present,A,1,417,431
causalpy/tests/test_input_validation.py,function,,test_rkink_bandwidth_check,A,1,439,460
causalpy/tests/test_input_validation.py,function,,test_rkink_epsilon_check,A,1,464,485
causalpy/tests/test_input_validation.py,function,,setup_regression_discontinuity_data,A,1,492,498
causalpy/tests/test_input_validation.py,function,,test_rd_donut_hole_validation_negative,A,1,596,607
causalpy/tests/test_input_validation.py,function,,test_rd_donut_hole_validation_exceeds_bandwidth,A,1,611,633
causalpy/tests/test_input_validation.py,function,,test_rd_few_datapoints_warning,A,1,662,674
causalpy/tests/test_input_validation.py,function,,test_rd_few_datapoints_warning_with_donut,A,1,678,691
causalpy/tests/test_input_validation.py,function,,test_rd_unrecognized_model_type,A,1,695,710
